#,0,1,2,3,4,5,6,11,12,13,14,15,16,17,18,19,20,98,99,101,102,103,104,105,106
0,Throw,1,1,A_000_0,A_000_0,10,38,65,25,1,5,5,5,5,0,0,0,0,20008,0,1,0,0,0,0
1,Shot,3,1,A_001_0,A_001_0,30,38,45,35,1,10,10,10,10,0,0,0,1,20008,2,0,0,0,0,0
2,Drive,2,1,A_002_0,A_002_0,20,38,30,20,1,30,30,20,20,0,0,0,2,20008,3,4,0,0,0,0
3,Hack,1,1,A_003_0,A_003_0,10,7,70,15,1,10,10,5,5,0,0,0,3,20010,9,10,11,12,13,8
4,Stab,3,1,A_004_0,A_004_0,30,7,40,30,1,20,20,10,10,0,0,0,4,20010,15,16,17,18,19,14
5,Slash,2,1,A_005_0,A_005_0,20,7,25,25,1,25,25,25,25,0,0,0,5,20010,21,22,23,24,25,20
6,Punch,1,1,A_006_0,A_006_0,10,7,55,35,1,5,5,5,5,0,0,0,6,20004,5,0,0,0,0,0
7,Point,3,1,A_007_0,A_007_0,30,7,40,30,1,15,15,15,15,0,0,0,7,20004,6,0,0,0,0,0
8,Hold,2,1,A_008_0,A_008_0,20,7,25,20,1,35,35,20,20,0,0,0,8,20004,7,0,0,0,0,0
9,Sound,1,0,A_009_0,A_009_1,0,0,0,0,0,0,0,0,0,1,0,0,9,20003,26,27,0,0,0,0
10,Wrap,3,1,A_010_0,A_010_0,20,18,25,15,1,30,30,30,30,0,0,0,10,20003,28,0,0,0,0,0
11,Spell,3,0,A_011_0,A_011_0,10,28,0,0,0,0,0,0,0,1,0,0,11,20003,29,0,0,0,0,0
12,Ware,3,1,A_012_0,A_012_0,10,38,50,30,1,10,10,10,10,0,0,0,12,20003,30,0,0,0,0,0
13,Drug,2,0,A_013_0,A_013_0,10,18,0,0,0,0,0,0,0,0,1,0,13,20003,31,0,0,0,0,0
14,Toxic,1,0,A_013_0,A_013_0,10,18,0,0,0,0,0,0,0,0,1,0,14,20003,31,0,0,0,0,0
15,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20002,0,0,0,0,0,0
16,Sweep,2,1,A_010_1,A_010_1,20,7,25,15,1,30,30,30,30,0,0,0,19,20003,32,0,0,0,0,0
17,Myriad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20002,0,0,0,0,0,0
