#,0,2,61,62,63,64,66,67,68,69,70,71,72,73,99,103,104,1,6,7,3,15,16,4,5,701,702,703,704,705,999,710,711,901,902,903,904,905,906,907,908,909,910,921,922,923,924,95,96,501,502,503,504,14,8,9,31,38,39,40,10,11,12,13,101,21,22,23,24,25,26,27,28,29,30,601,602,603,611,612,613,614,615,604,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,32,33,34,35,36,81,82,83,84,85,86,50041,50042,50043,50044,50045,50046,50032,50033,50022,50023,51110,51101,51102,51103,51104,51105,51106,51107,51108,51109,51111,50081,50082,50083,51367,51368,51369,50084,50085,50086,51370,51371,51372,50071,50072,50073,50092,50093,50094,50095,50096,50097,50098,98,37,91,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230
0,Breathing\nExercises,1,0,0,0,0,0,1,0,0,无,无,无,0,Method of breath.（Basic Breath Exercise）\nExhale the wasted and inhale the clean。,0,0,-1,-1,1,0,0,0,0,0,0.025,0.025,0.025,0.025,0.025,100,601&0.5,3,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,,,,,
101,Zen\nMeditation,1,101,1,20,0.1,3,1,5,9,颅息穴,耳门穴,十二正经,20,Zen meditation allows the practitioner to be at the state of tranquility，removing all distracting thoughts and unite their mind and body，achieving the state of enlightenment.,1,5001,0,0,1,1,1,0,0,1,0.02,0.02,0.02,0.02,0.02,120,601&0.5|65&0.25|66&0.75|514&0.6,3,0,0,0,1,0,0,0,1,0,2,2,2,4,4,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,,,,,
102,Arhat\nMeditation,2,101,1,30,0.2,6,0,5,9,巨骨,头角,肉身筋骨,50,Gains power from LI16 to get more Yang Qi，with which one can get rid of cold；focus the Yang Qi in your head to evolve your sight and see at night.,2,5002,0,0,1,1,1,0,1,2,0.2,0,0,0,0,120,601&0.75|62&0.35|66&0.8|514&0.9,3,0,0,0,0,0,0,0,0,0,0,5,1,8,5,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,,,,,
103,Spiritual Unity\nCultivation,3,101,2,40,0.3,11,1,5,9,会阳穴,承光穴,十二正经,95,“Heart in harmony with mind，mind in harmony with Qi，Qi in harmony with power”is the meaning of this skill. It turns your natural inner breath out into power covering your body. You even feel some weak noise produced by Qi around you when it's silent.,3,5003,0,0,1,1,1,0,1,3,0.3,0,0,0,0,120,601&1.15|64&0.3|65&0.3|66&0.7|514&1.35,3,0,0,0,1,0,0,1,0,0,2,3,1,5,5,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,,,,,
104,Formless Zen,4,101,2,50,0.4,18,1,4,9,玉枕穴,迎香穴,十二正经,155,When you run Formless Zen， it may seem as nothing happened but it does generate continuous energy. We call it “Endless emptiness with endless awareness， while you regard thinking as not thinking” when you have it all as you have nothing.,4,5004,0,0,2,1,1,0,0,4,0.08,0.08,0.08,0.08,0.08,120,601&1.5|65&0.45|66&1|514&1.8,6,0,0,0,0,1,0,0,2,0,3,2,3,3,4,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,,,,,
105,Bodhi\nMeditation,5,101,3,60,0.5,27,1,5,7,喜爱,慈悲,心意神识,230,The basic of all greater Buddha dharma. With Bodhi heart， you can resolve murderous spirits and reach a higher level of martial arts.,5,5005,0,0,2,1,1,0,1,5,0.5,0,0,0,0,120,601&1.9|65&0.5|66&1.1|514&2.3,6,0,0,0,0,0,1,0,0,0,3,2,3,6,5,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,,,,,
106,Za-A-Han\nScripture,6,101,3,70,0.6,38,1,4,9,附阳穴,地仓穴,奇经八脉,320,Za-A-Han Scripture contains countless methods and forms， which can be used to clear demonic or chaotic minds， makes you know how to solve complex problems and realize new mystiques.,6,5006,0,0,2,1,1,0,1,6,0.6,0,0,0,0,120,601&2.3|64&0.35|65&0.55|66&0.85|514&2.75,6,0,0,1,1,1,1,1,1,1,1,2,2,3,4,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,,,,,
107,Great Arahant\nExercises,7,101,4,80,0.7,51,0,3,9,下横,天柱,肉身筋骨,425,People who practice this method may seem think and weak but are actually strong and energetic. It is said with this exercise，your pain and illness will soon disappear， and find it easier to learn new stuff even without a teacher.,7,5007,0,0,2,1,1,0,1,7,0.7,0,0,0,0,120,601&2.65|62&1.3|66&0.6|514&3.2,9,0,0,0,0,0,0,0,0,0,0,6,3,9,6,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1.5,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,1,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,0,0,,,0
108,Tendon\nRenewal Sutra,8,101,4,90,0.8,66,0,3,9,绝骨,印堂,肉身筋骨,545,Tendon Renewal， said to be taught first the Dharma ancestors and can stimulate the unlimited potential of the human body.“With this inner-changing method done，indestructible one become. Illness won't affect you，overeating won't hurt you either”。,8,5008,0,0,3,1,1,0,0,8,0.16,0.16,0.16,0.16,0.16,120,601&3.05|62&1.1|66&0.95|514&3.65,9,0,0,2,0,0,0,0,0,0,2,4,2,7,6,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.5,0,1.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,0,0,,,0
109,Sutra of Marrow\nRejuvenation,9,101,5,100,0.9,83,1,5,9,腰俞穴,神庭穴,奇经八脉,680,“Refresh your bones and marrow，rest your soul and let it fly。After days of transforming，you will reach the final stage”.It's a exercise that can make you feel like living a new life.,9,5009,0,0,3,1,1,1,0,9,0.18,0.18,0.18,0.18,0.18,120,601&3.45|64&1.1|66&1.1|514&4.15,9,0,0,0,2,0,2,0,2,0,2,3,3,4,4,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.75,0,0.2,0,0,0,0,0,0,0,0,0,0,0.5,1.75,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,0,0,,,0
201,Abdominal\nBreathing,1,101,1,20,0.1,3,1,5,9,大赫穴,中柱穴,十二正经,20,Press your breath down to Dantian，agglomerate energy. It does good to both outer and inner power，is a secret tip to transform your energy into Force after days and years.,10,5010,0,0,1,2,1,0,2,1,0,0.1,0,0,0,120,601&0.5|64&0.5|66&0.5|513&0.55|514&0.55,3,0,0,0,0,1,0,0,0,0,1,3,4,2,6,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,0,0,,,0
202,Emei Pillar\nHolding,2,101,1,30,0.2,6,1,5,9,曲泉穴,期门穴,十二正经,50,Emei Pillar Holding combines motions and motionless steps，both Yin and Yang. It also combines Taois，Buddhist and medical mysteries，can strengthen inner breath，treat internal organs and provide peaceful feeling.,11,5011,0,0,1,2,1,0,2,2,0,0.2,0,0,0,120,601&0.75|65&0.55|66&0.6|513&0.8|514&0.8,3,0,0,0,0,0,0,0,0,0,2,4,5,1,6,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0,30,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,0,0,,,0
203,Original Pure\nForce,3,101,2,40,0.3,11,1,4,9,通谷穴,气冲穴,奇经八脉,95,Original Pure Force continuously benefits your awareness，makes you absorb the natural Qi from environment to be your inner power. ,12,5012,0,0,1,2,1,0,2,3,0,0.3,0,0,0,120,601&1.15|64&0.8|66&0.5|513&1.25|514&1.25,3,0,0,0,0,0,0,0,0,0,0,5,3,5,7,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,0,0,,,0
204,Spirituality\nComprehension,4,101,2,50,0.4,18,1,3,9,五枢穴,天冲穴,十二正经,155,Understand the nature to understand yourself， your feelings and desires.,13,5013,0,0,2,2,1,0,2,4,0,0.4,0,0,0,120,601&1.5|65&0.8|66&0.65|513&1.65|514&1.65,6,0,2,0,0,0,0,0,0,0,2,2,5,2,6,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,30,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,0,0,,,0
205,Lotus\nMysterious,5,101,3,60,0.5,27,1,4,9,横骨穴,幽门穴,奇经八脉,230,“With abstruse method to prove abstruse truth. Sit or lie in side of the lotus，filthy thing won't affect you，wind and wave won't disturb you.” It clears you naturally. After successful practice，the user looks bright and feels healthy.,14,5014,0,0,2,2,1,0,2,5,0,0.5,0,0,0,120,601&1.9|64&0.55|65&0.55|66&0.5|513&2.1|514&2.1,6,0,0,0,0,0,0,0,0,0,2,3,5,4,7,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,1.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,0,0,,,0
206,Puxian\nScripture,6,101,3,70,0.6,38,1,3,9,中柱穴,神藏穴,十二正经,320,PuXian Scripture is gentle and effective，it contains “10 methods”、“10 endurances”、“6 prostrations”、“4 unchokings” and several other steps.,15,5015,0,0,2,2,1,0,2,6,0,0.6,0,0,0,120,601&2.3|64&0.45|65&0.45|66&0.85|513&2.5|514&2.5,6,0,0,0,0,1,0,0,1,0,2,3,3,5,6,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0.2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,30,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,0,0,,,0
207,Anatta,7,101,4,80,0.7,51,1,3,9,阳白穴,脑空穴,奇经八脉,425,Anatta has polytropic spells，forms，shapes and meanings. “Give up body，give up wisdom，leave your shape and awareness，be a part of all，Sit and Forget.”,16,5016,0,0,3,2,1,0,0,7,0.14,0.14,0.14,0.14,0.14,120,601&2.65|65&1.2|66&0.7|513&2.95|514&2.95,9,0,0,0,0,0,1,0,0,0,1,5,7,3,6,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,1,1,1,0.2,0.2,0.2,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,0,0,,,0
208,Great Nirvana,8,101,4,90,0.8,66,1,1,9,身柱穴,百会穴,奇经八脉,545,All creatures live and die，the greatest methods also follow the rule. Nirvana makes you silent as dead and come to a new life. The power first goes weak then become strong， the weaker it was the stronger it will be， feels as if you have the long-lasting power of Buddha.,17,5017,0,0,3,2,1,1,2,8,0,0.8,0,0,0,120,601&3.05|64&0.65|65&0.6|66&0.8|513&3.35|514&3.35,9,0,0,0,0,0,0,0,0,0,6,2,3,3,8,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,1.25,1.25,1.25,0,0,0,0,0,0,0,30,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,0,0,,,0
301,Diagram of\nAcupunture Points,1,101,1,20,0.1,3,1,4,9,冲门穴,天溪穴,十二正经,20,（ComingSoon）,18,5018,0,0,1,3,1,0,3,1,0,0,0.1,0,0,120,601&0.45|65&0.75|66&0.25|509&0.65,3,0,0,0,0,0,0,0,0,0,0,2,6,4,6,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,45,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,0,0,,,0
302,Acupuncture\nOriginal,2,101,1,30,0.2,6,1,4,9,涌泉穴,俞府穴,十二正经,50,（ComingSoon）,19,5019,0,0,1,3,1,0,3,2,0,0,0.2,0,0,120,601&0.65|65&0.8|66&0.35|509&1,3,0,0,0,0,0,0,0,0,0,0,4,6,2,7,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,0,0,,,0
303,Full Chapter of\nJia-Yi,3,101,2,40,0.3,11,1,3,9,阴交穴,横骨穴,奇经八脉,95,（ComingSoon）,20,5020,0,0,1,3,1,0,0,3,0.06,0.06,0.06,0.06,0.06,120,601&1|65&0.65|66&0.65|509&1.5,3,0,0,0,0,0,0,0,0,0,0,3,4,7,6,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,0,0,,,0
304,Spiritual Pivot,4,101,2,50,0.4,18,1,3,9,气冲穴,幽门穴,奇经八脉,155,（ComingSoon）,21,5021,0,0,2,3,1,0,0,4,0.08,0.08,0.08,0.08,0.08,120,601&1.35|65&1|66&0.45|509&2,6,0,0,0,0,1,0,0,0,0,1,2,4,4,8,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,0,0,,,0
305,Meridian\nEnhancement,5,101,3,60,0.5,27,1,1,9,气海穴,承浆穴,奇经八脉,230,（ComingSoon）,22,5022,0,0,2,3,1,1,3,5,0,0,0.5,0,0,120,601&1.7|65&1.1|66&0.5|509&2.5,6,0,0,0,0,0,0,0,0,0,0,4,6,5,7,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,45,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,0,0,,,0
401,Ultra Harmony\nof Wudang,1,101,1,20,0.1,3,1,5,9,维道穴,肩井穴,十二正经,20,（ComingSoon）,23,5023,0,0,1,4,1,0,0,1,0.02,0.02,0.02,0.02,0.02,120,601&0.55|64&0.65|66&0.35|513&0.55,3,0,0,0,1,0,0,1,0,0,2,2,3,3,4,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0|0,0|0,0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,,,,,,,,,,,,-1,,,,,,,0,0,,,0
